,id,description,tag_ids,user_id,billable,task_id,project_id,workspace_id,custom_field_values,type_my,kiosk_id,is_locked,time_interval_start,time_interval_end,time_interval_duration,hourly_rate_amount,hourly_rate_currency,cost_rate_amount,cost_rate_currency
19,6839ad31b572c76100937eae,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-28 07:00:00,2025-05-28 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
20,6839ad3053edd3246be7f849,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-27 07:00:00,2025-05-27 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
21,6839ad2fdf716126d000d8e7,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-26 07:00:00,2025-05-26 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
22,6839ad38a9ab5f4661bf9aad,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-23 07:00:00,2025-05-23 21:00:00,0 days 14:00:00,0.0,ZAR,0.0,ZAR
23,682ececfb417733736f54b97,,,61e8d0aaec657019b1547670,True,,66e93444e7d56d567f42868a,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-22 15:00:00,2025-05-22 16:00:00,0 days 01:00:00,0.0,ZAR,0.0,ZAR
24,682ececda4e2fd3c34d88a60,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-22 07:00:00,2025-05-22 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
25,682ececc24f321560e79ef6a,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-21 07:00:00,2025-05-21 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
26,682ececbb417733736f54b47,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-20 07:00:00,2025-05-20 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
27,682ececa66a3b41553aba827,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-19 07:00:00,2025-05-19 15:00:00,0 days 08:00:00,0.0,ZAR,0.0,ZAR
28,682eced4a4e2fd3c34d88aee,,,61e8d0aaec657019b1547670,True,,67c1635b999dbb6ea64f2331,61e69d2cdc3256444cefaca4,,REGULAR,,False,2025-05-16 07:00:00,2025-05-16 11:00:00,0 days 04:00:00,0.0,ZAR,0.0,ZAR
